uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mcqd2ztp5s24,bafyreifqpvsjyh47tqd5lndyjemhb6vy65te6rygenb5zsws2qxa7vtx3y,"Considerando que Pedro tinha processo por stalking e violência, medida restritiva da ex namorada (quando a mesma tinha 15 anos), entre outras coisas… como a Globo não fez background check? Como a emissora e a produção permitiram essa ficha suja entrar? #BBB26",2026-01-18T23:51:48.732Z,29,140,853,2026-01-18T23:51:48.933Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:bvdczzyaip2klzg5lcxqnxms/app.bsky.feed.post/3mcrw2zorvs2d,bafyreiar5fotrvsmsnq7zrmpi4y7gqy5xv54pllhbnqjukjhw2efunaely,"Rapaz! Ana Maria Braga GRANDONA ao falar sobre o conservador “cidadão de bem” Pedro, que fugiu do #BBB26 depois de assediar uma participante: ""Começo essa semana de alma lavada em saber que não terei o DESPRAZER de entrevistar o Pedro...""",2026-01-19T15:04:29.399Z,6,64,401,2026-01-19T15:04:30.829Z,lazarorosa.bsky.social,Lázaro Rosa 🇧🇷,did:plc:bvdczzyaip2klzg5lcxqnxms
at://did:plc:3lllzbmdm5jjqtvij7b2yv7i/app.bsky.feed.post/3mcqc6jei5s2m,bafyreiailfn67fnj7v4bvanampp6rvkvjvlz2j64hspgfxd3jds72wv6ay,"Momento em que a Ana Paula, já ciente do que havia acontecido, cercou o Pedro na cozinha e começou a fazer pressão para que ele falasse. Ao ser pressionado e perceber que havia sido descoberto, covarde que é, ficou desconversando e foi direto apertar o botão da desistência. #BBB26",2026-01-18T23:35:51.932Z,7,93,489,2026-01-18T23:35:53.632Z,donpatito.bsky.social,Pato 🦆,did:plc:3lllzbmdm5jjqtvij7b2yv7i
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mcs7ywikzs2y,bafyreib4oxlxtb6womcbzx55etpm5osijbdnuwgpta2x44avah23qqvor4,"Babu “tem que apertar o botão do lado primeiro”
Kkkkkkkkkkkkkkkkkk #bbb26",2026-01-19T18:02:16.364Z,5,53,338,2026-01-19T18:02:17.833Z,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2
at://did:plc:ofsfjixoii6ox5kmge3frnzl/app.bsky.feed.post/3mct3mjb6cs2m,bafyreiarvvzerm4ud6zkeollbh7bha6x6pz5muy5ovhh4zjlmzge5ywdmi,vC jÁ mEdItOu HoJe? #BBB26,2026-01-20T02:16:24.601Z,7,96,290,2026-01-20T02:16:27.632Z,foradicontexto.bsky.social,Fora Di Contexto 🗣️,did:plc:ofsfjixoii6ox5kmge3frnzl
at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3mct46misws2n,bafyreibbzak73phqly22y7fvbysbg4inxzddytviq5pogiecv3pv2el2qy,"“Agora eu sou obrigada a conversar com gente que medita?”

— Ana Paula Renault #BBB26",2026-01-20T02:26:31.983Z,5,36,224,2026-01-20T02:26:33.633Z,jnascim.info,Jeff Nascimento,did:plc:gpunjjgvlyb4racypz3yfiq4
at://did:plc:l4dngcbgffcpcbnwmjnr2yqs/app.bsky.feed.post/3mcqb5vl53j2c,bafyreicapwuqni4cgdhjq5nis7ty3jmwmle4v4a2aoftqoghgn4fj7pooa,"Não é só expulsão, não. A Globo tem obrigação de fazer BO e denunciar o caso à Delegacia da Mulher e enviar todas as imagens. Dentro do programa também vale o Código Penal. #BBB26",2026-01-18T23:17:37.088Z,2,70,317,2026-01-18T23:17:37.535Z,allannobrega.com.br,Allan Nóbrega,did:plc:l4dngcbgffcpcbnwmjnr2yqs
at://did:plc:gdxytf7iwt7ta4bjkhc7ck5a/app.bsky.feed.post/3mcqkhgnbnk2w,bafyreifvriservwu7i4z5whb33si6c2gnjav2a6qsxh3hvocngfg4p4yaa,"A questão do cara do #BBB26 é que ele não agiu no impulso, como ele quis fazer parecer.

Ele conduziu a moça pra onde ele sabia que tinha um ponto cego na casa.

Antes disso, ele já tinha roubado uma calcinha dela e levado para OUTRO ponto cego da casa.

Ele agiu 100% de caso pensado.",2026-01-19T02:04:00.998Z,5,71,284,2026-01-19T02:04:01.133Z,keshi.bsky.social,very fancy rococo looking inner labia✨,did:plc:gdxytf7iwt7ta4bjkhc7ck5a
at://did:plc:k3lh24guuahmq72xgttqyfg3/app.bsky.feed.post/3mcqbwzwsdc2g,bafyreicnfogxfzziblg5kc5drr7o54koas4mkczh2keyoo5gdcgwo6xjce,ana paula renault tem uma intuição invejável #BBB26,2026-01-18T23:31:40.852Z,8,44,284,2026-01-18T23:31:43.131Z,caprianjo.bsky.social,caprianjo,did:plc:k3lh24guuahmq72xgttqyfg3
at://did:plc:juj2vcz7wqfeww6gxu37anly/app.bsky.feed.post/3mcqbphgr2225,bafyreierjavxu7uf5fybr5zedzj33bxetfw2p6r4zbmv24dahopop4tazu,"a mulher não está segura NEM NA CASA DO BIG BROTHER, o programa mais assistido do país, gravado numa casa com câmeras em TODOS os lugares, com pessoas assistindo 24 horas por dia. essa é a realidade. #BBB26",2026-01-18T23:27:26.591Z,1,92,278,2026-01-18T23:27:27.831Z,nivia9.bsky.social,Nivia,did:plc:juj2vcz7wqfeww6gxu37anly
