uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mcqhz2hyd224,bafyreidl4e43lnqbuwzwioakfrds5zhshoj6vrgzvyoqhamfesfi3hfdum,O Alberto Cowboy contando a vida relativamente playbas dele toda baseada em mundo corporativo e banco… e tamo aqui esperando a hora que chega a fazenda e o rodeio. #BBB,2026-01-19T01:20:10.997Z,1,0,46,2026-01-19T01:20:11.730Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:77m7szcps5ahfhlj275enasd/app.bsky.feed.post/3mcsnd5sfgc2x,bafyreibyqwavog2kyswmjjmixg2hoyn74yi5kiwkltb32g6qdafp4tms7q,"Cowboy e Jonas são dois imundos. ""A casa dos outros"" que é pra demarcar que a Milena não pertence à casa do BBB. #BBB26",2026-01-19T22:00:38.208Z,4,2,6,2026-01-19T22:00:41.128Z,mulherbeliche.bsky.social,Vivian,did:plc:77m7szcps5ahfhlj275enasd
at://did:plc:mgkqtylfno2gkkl4rtwry4js/app.bsky.feed.post/3mchchpzmv222,bafyreicb2wyrimsn75fcjglvg3yu4uwt3ncvmpf6vba7oi7r6aveyzmd6q,Cordei e Alberto Cowboy líder. Acho que vai ser interessante #BBB #BBB26,2026-01-15T09:47:03.261Z,1,0,4,2026-01-15T09:47:05.030Z,fabiruiva.bsky.social,Fabiana,did:plc:mgkqtylfno2gkkl4rtwry4js
at://did:plc:jqs453ktxco5ho5z46wardhp/app.bsky.feed.post/3mck7nflkac27,bafyreigvm26a6ia7oyjvy3pzydew6do6s6uuewo7zbp7tjkajzrgbaks4e,"Alberto Cowboy foi coroado Líder, o Big Fone tocou, estratégias são discutidas para o próximo Paredão e mais, no #BBB26.

Confira os últimos acontecimentos na casa:
tracklist.com.br/resumo-bbb-2...",2026-01-16T13:34:31.629Z,0,1,10,2026-01-16T13:34:34.639Z,tracklist.com.br,Tracklist,did:plc:jqs453ktxco5ho5z46wardhp
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mcbhsq77wc24,bafyreiagquph4mw4p74qskutfcrpactmf3pfsniaisxzdzghlahbs7wg64,"Alberto cowboy foi um grande vilão da sua edição!!!

#AleReality #bbb26 #BBB",2026-01-13T02:06:42.822Z,2,2,10,2026-01-13T02:06:44.134Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mclgu6mxz225,bafyreiaa4coioyccaqmud3ylcczojoqna42tk57vtfaacnoaiimqfgqrom,"Alberto Cowboy disse acabou a combinação dos Pipocas não se votarem por causa da Ana Paula: ""Ela deu uma organizada na galera: 'vai votar em quem? Na calebridade, camarote, ex-bbb? Não tem que ir no pipoca. Esse pipoca tá dando problema!"" #BBB26",2026-01-17T01:16:15.148Z,0,0,4,2026-01-17T01:16:17.631Z,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2
at://did:plc:h6n3z5vatkm6ortaao5cddhd/app.bsky.feed.post/3mcbivpmozs2e,bafyreidjtidzw3qqe2pgn265rossqwmrguhlvgsrc6qovxfhvqey7puji4,O alberto cowboy foi um q quase morreu no bbb ne passou malzaço,2026-01-13T02:26:16.620Z,2,0,9,2026-01-13T02:26:18.534Z,marish.bsky.social,Planeta Chupão ☄️,did:plc:h6n3z5vatkm6ortaao5cddhd
at://did:plc:rppuus72jre37isxuko36i5e/app.bsky.feed.post/3mcg4rs7k6k24,bafyreih6g75pz7sotxa4225rwo3bepmri6bqshptdfzpiifn4mfce677i4,"To vendo o click bbb pq não consegui ver nada segunda e terça, me senti mt velha com o Alberto Cowboy contando oq fez com o alemão e a siri e as meninas nunca nem tinham ouvido falar. Eu participava de comunidade do ORKUT do alemão e da Fani Kkkkkkkkkkk",2026-01-14T22:32:38.907Z,1,0,7,2026-01-14T22:32:40.336Z,napaulices.com,Ana Castela do Roblox,did:plc:rppuus72jre37isxuko36i5e
at://did:plc:226ygdgpoeybnsdw7u6swmhf/app.bsky.feed.post/3mchho5qzpk25,bafyreifwytbstcrdshbkv4ajpdjcruewj3zvh6q3ttuwjn25ttiiz5p2cu,"Esse BBB foi muito bom, Willi. Teve casal, trisal, briga, surtos, brigas, embate, e o maior vilão que já passou pela casa: o Alberto Cowboy. Você teria amado!",2026-01-15T11:20:07.694Z,0,0,5,2026-01-15T11:20:08.631Z,annaannak.bsky.social,Anna 🦉,did:plc:226ygdgpoeybnsdw7u6swmhf
at://did:plc:d637k3ptvgeelvkwiy73o3le/app.bsky.feed.post/3mchoerowec2i,bafyreids5mbp2ovx6yjupca4xawqtkgrflp4iiw7bmpq7gf4rkn2czmhkm,"E acho o Alberto cowboy uma boa adição, ele foi mnt injustiçado no bbb dele",2026-01-15T13:20:09.245Z,1,0,2,2026-01-15T13:20:10.033Z,yougotmeallwrong.bsky.social,"never been less empty, all I feel is free now",did:plc:d637k3ptvgeelvkwiy73o3le
