uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:ulwao7ndua3xppebdwn3kwty/app.bsky.feed.post/3mcqamjkuts23,bafyreicwlp4xzn7qabrychyyza34yorosh4kirh575cc6nqeu7g2dqkfky,Ana Paula sente cheiro de assediador #BBB,2026-01-18T23:07:54.420Z,3,27,193,2026-01-18T23:07:55.332Z,felipeabal.viracasacas.com,Felipe Abal,did:plc:ulwao7ndua3xppebdwn3kwty
at://did:plc:h6n3z5vatkm6ortaao5cddhd/app.bsky.feed.post/3mct4z2hwdc2j,bafyreice4iv3hlphac63z4x7c7a7y4mgb7jkfqvzes2mclxn36aoovdfri,Off se eu entrasse no bbb e ana paula me rejeitasse eu apertava o botao pra sair #bbb,2026-01-20T02:41:19.034Z,1,45,227,2026-01-20T02:41:20.832Z,marish.bsky.social,Planeta Chupão ☄️,did:plc:h6n3z5vatkm6ortaao5cddhd
at://did:plc:4436cdvz3koc4exf3tct3sdn/app.bsky.feed.post/3mcqei2fi2s2r,bafyreihwe4fb6ddxd457a5niokoaqobv4feqwf23evi3ja2lstcep3rwsa,ana paula bbb os 34 anos que passou sem trabalhar sendo sustentada pelos pais ela tava studying the blade,2026-01-19T00:16:59.261Z,0,76,364,2026-01-19T00:17:00.230Z,cuntolicismo.bsky.social,igreja cuntolica lacrostolica,did:plc:4436cdvz3koc4exf3tct3sdn
at://did:plc:jx7hzxv5lh3xxsiz5wyq5mqk/app.bsky.feed.post/3mcl446nvvk2j,bafyreiggkku4nodholgxonxudnuyoxyjh6s7nklyyaa2a3acqcfnr36rj4,ana paula mandando um desafeto pra cadeia pela segunda vez num BBB,2026-01-16T22:03:52.454Z,1,33,137,2026-01-16T22:03:52.233Z,burendoru.bsky.social,gay gigantesca de leque,did:plc:jx7hzxv5lh3xxsiz5wyq5mqk
at://did:plc:h6n3z5vatkm6ortaao5cddhd/app.bsky.feed.post/3mcry57innk2c,bafyreibqd6yk4hdigh7z3ejjpv25uqrwpt3qfgtzf56236kdfnt7j3ox54,Cozinharam a ana paula num laboratório de reality show q nem uma menina super poderosa  #bbb,2026-01-19T15:41:30.084Z,0,2,38,2026-01-19T15:41:30.835Z,marish.bsky.social,Planeta Chupão ☄️,did:plc:h6n3z5vatkm6ortaao5cddhd
at://did:plc:657jhwkcct5wpj2ydtxtjpwt/app.bsky.feed.post/3mct7r5gauk2w,bafyreie3ptdwt6isuz23hhylzqcazqltbatil3jdyf6w52in5rwwcdszre,"Sarah se aproximando da Ana Paula.

Ana Paula saindo falando: ""CADÊ meu exército""

#bbb #bbb26",2026-01-20T03:30:34.928Z,0,0,13,2026-01-20T03:30:36.536Z,daviddenislobao.bsky.social,David Denis Lobão,did:plc:657jhwkcct5wpj2ydtxtjpwt
at://did:plc:c36f6dl2hgqxynd6wclxudqw/app.bsky.feed.post/3mcqnewuwf22s,bafyreife6odsoih2di73w3lauue6x5bj5srtokn54a35njxorhpearkv2y,sugestão pro bbb: colocar a ana paula com um cutelo de açougueiro em um sala com pedro. eu assino até o pay-per-view,2026-01-19T02:56:18.588Z,1,3,47,2026-01-19T02:56:19.332Z,danielduncan.bsky.social,Daniel Duncan,did:plc:c36f6dl2hgqxynd6wclxudqw
at://did:plc:h6n3z5vatkm6ortaao5cddhd/app.bsky.feed.post/3mcqci4mi6k2q,bafyreifywb2psycym2nsxzclt3nfmug4owitcfh732v5hmlk5na5tobbci,KKKKKKK ANA PAULA RENAULT A MAIOR DE TODAS IMPRESSIONANTE CARA #bbb,2026-01-18T23:41:14.102Z,1,4,39,2026-01-18T23:41:16.535Z,marish.bsky.social,Planeta Chupão ☄️,did:plc:h6n3z5vatkm6ortaao5cddhd
at://did:plc:wil2pwyrgq5o2rlmkh4jbyvw/app.bsky.feed.post/3mcnzlbqnx22j,bafyreidcj4hkeek5pnttvvdhfb2nhsqzumivppyyu6fp7ucpbdcptycpe4,As vezes o moço do BBB é grower... Mas dificilmente é mais greluda q Ana Paula. 💪👱‍♀️,2026-01-18T01:56:36.974Z,1,0,26,2026-01-18T01:56:45.734Z,ynhaim.bsky.social,Ynhaim?! 🔞,did:plc:wil2pwyrgq5o2rlmkh4jbyvw
at://did:plc:sfjm5ndkp5maivlns6bmxabj/app.bsky.feed.post/3mclimczczs22,bafyreihedrsyv2g36pywm6bt2nqnebwvptbttthwxi2s7lsbvws7vbuadi,oi ana paula vi vc quietinha vivendo sua vida no bbb o que você acha de israel e palestina?,2026-01-17T01:47:38.795Z,1,2,50,2026-01-17T01:47:41.029Z,oiyuriv.bsky.social,yuri,did:plc:sfjm5ndkp5maivlns6bmxabj
