uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:qhmqwop4lsxs47kggc335x3l/app.bsky.feed.post/3mcqmmgg2fc2h,bafyreifiyrpbul7othmlsgikngwap32umpudodchmxirjoeolbfbrzcacu,"Babu: ""não tô sabendo jogar sendo amado"" #BBB 🥹🤏",2026-01-19T02:42:36.017Z,0,14,101,2026-01-19T02:42:36.835Z,windblow.org,Steven Flow,did:plc:qhmqwop4lsxs47kggc335x3l
at://did:plc:t6mo3gdxr4263p3bsvn7ktym/app.bsky.feed.post/3mcscivknhc26,bafyreiaew2egnkhbjzxrgz26wddl5hb5ikk4t7t5b25btkcbmgcdefpbda,Primeiro eliminado do Lababu,2026-01-19T18:46:59.724Z,0,0,30,2026-01-19T18:47:04.232Z,oigenbu.bsky.social,Genbu 🍉,did:plc:t6mo3gdxr4263p3bsvn7ktym
at://did:plc:tzpaafgby3335xvvnwm7ekei/app.bsky.feed.post/3mcqpdvj5rs22,bafyreia72dqeil5jue36vscap4djro7ithutnthl6eil3nlupr3pxpdcn4,sua mãe odeia ESTE HOMEM?,2026-01-19T03:31:31.081Z,1,0,27,2026-01-19T03:31:32.134Z,raposatriste.bsky.social,equipe ana castela roblox,did:plc:tzpaafgby3335xvvnwm7ekei
at://did:plc:u6limtouih2cs5rbrf2nmtkf/app.bsky.feed.post/3mcqs4yjp6s2v,bafyreib6idp6jg2rkzuluv6jpepsptbgvgnvvf2beiujbkk4np4tkhovva,"CARALHO o cowboy virou “eu nunca vi o cara mais prestativo ganhar BBB você já viu Babu? Senão você tinha ganhado” 

IHAAAAAAAAAA",2026-01-19T04:21:20.590Z,2,0,42,2026-01-19T04:21:21.532Z,freeblowjob.deichator.ar,Clarice Xerector,did:plc:u6limtouih2cs5rbrf2nmtkf
at://did:plc:2whzeyp6psmziq7jl2fohp5d/app.bsky.feed.post/3mcoeonx4pk2c,bafyreibzu4wvjpfqe3i5rt6pm4bjfckg35taicxw4vcaukpfy3774k7khi,"O Babu já tá olhando pro Pedro com a mesmíssima expressão que olhava pro Daniel no BBB 20, hahaha. Como aquela edição foi boa, minha nossa. E essa tá caminhando pra ser tb. #BBB26",2026-01-18T05:15:21.614Z,0,3,26,2026-01-18T05:15:22.729Z,danielvaz.bsky.social,Daniel Vaz,did:plc:2whzeyp6psmziq7jl2fohp5d
at://did:plc:ubji6txf3gdzwztlt2zegzdi/app.bsky.feed.post/3mckhnydfx223,bafyreigu2ew7vgo2vxh5imi3idwshl2h5wdvzn3upoqjliujexh5th25by,"Vi um video do Babu Santana explicando os homens peixe do One Piece pra Ana Paula Renault, com toda questão racial envolvida (ele mesmo já fez um cosplay do Jinbe e tem tudo a ver!)

Parece mesmo que esse BBB tá interessante.",2026-01-16T15:58:01.220Z,2,7,103,2026-01-16T15:58:06.344Z,crisvector.com,Cris,did:plc:ubji6txf3gdzwztlt2zegzdi
at://did:plc:is34cckbge5hd54rz3qqsbj3/app.bsky.feed.post/3mcthlze3fs25,bafyreifan2wymnq45infrgdbhlu3q2oyy5fb3hai73cx33a27wesbldz5i,"Acho tãããão interessante ver como essa participação do Babu difere do BBB 20. Tem tantas pessoas mais abertas a ele, e pessoas com mais afinidade. Está sendo uma experiência completamente diferente. #BBB26",2026-01-20T05:50:52.812Z,0,1,16,2026-01-20T05:50:53.632Z,sirph.bsky.social,Sir PH,did:plc:is34cckbge5hd54rz3qqsbj3
at://did:plc:mvwiyh2vxrls6b4wgjbcmar4/app.bsky.feed.post/3mct4trdxpk2i,bafyreibx57xcit26zkkipkcd7sxmqy7ewlfqg2abop7i6uj3l744gpbin4,"Nossa, o Babu tá total no foda-se nesse BBB né, tá lá pelo cheque e se der pra ganhar deu",2026-01-20T02:38:21.703Z,0,0,4,2026-01-20T02:38:23.330Z,mateuscarvalho.bsky.social,Mateus Carvalho,did:plc:mvwiyh2vxrls6b4wgjbcmar4
at://did:plc:nazx3gthagjhyo2va2donowc/app.bsky.feed.post/3mct4ui3b5k2q,bafyreif7udxsu6ktdafimfamkkvwujv3htzi6t6unfkym62i2q65jbqkqa,"o babu depois de chamar a sol iarnuou de burra ""espero não ter te ofendido"" 

#bbb",2026-01-20T02:38:45.542Z,0,0,3,2026-01-20T02:38:46.932Z,danizzada.bsky.social,poupança muscular ✠,did:plc:nazx3gthagjhyo2va2donowc
at://did:plc:jzzybaadrhwvhfut4yzmcrg3/app.bsky.feed.post/3mcsfp5wnks2x,bafyreigphrzbk66jd3brzucgoilybwh6ebfovipiggn7gya3i46nrrt7he,o que me choca no babu é que ele teve acesso a dinheiro depois dessa passagem pelo bbb e ainda assim consegue estar mais feio agora,2026-01-19T19:44:11.071Z,1,0,5,2026-01-19T19:44:12.434Z,veashgente.bsky.social,veash,did:plc:jzzybaadrhwvhfut4yzmcrg3
