uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mckmepjq2c2k,bafyreihcgza7vp4cldqniazkcddgj5pv4abw2d6zn4gjrbslb5yrlo42xi,"Brígido e Patixa já fizeram comercial de motel juntos!!! 😮

#AleReality #bbb26 #BBB",2026-01-16T17:22:18.709Z,2,3,14,2026-01-16T17:22:20.340Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:5psd74hoyj7zfwdxqi3okt6m/app.bsky.feed.post/3mcpivuftbk22,bafyreicpdcgdjyrtucpukvkmwbhdrglyad7kdzlhzumbvi4qp65i7xviqm,"Brígido (BBB 2026)🔥🤤

Segue nosso Instagram 😈 www.instagram.com/manfamousoho...

#famososnus #onlyfans #privacy #bbb24 #cauareymond #onlyfansbabe #gustavorocha #gabrielfuentes #thomascosta #volume #machosdaweb #famosospelados #felipetito",2026-01-18T16:03:37.950Z,0,1,4,2026-01-18T16:03:44.935Z,hotfamosos.bsky.social,Hotfamosos 🔞😈,did:plc:5psd74hoyj7zfwdxqi3okt6m
at://did:plc:ulwao7ndua3xppebdwn3kwty/app.bsky.feed.post/3mcdyp4mayc2a,bafyreicwesgfvnpbckipbgd6i7lpsivdt7dxmm6hgrjfhxyrgpesouairi,"Maldito Brígido, a volta vem #BBB",2026-01-14T02:14:14.702Z,0,0,7,2026-01-14T02:14:16.236Z,felipeabal.viracasacas.com,Felipe Abal,did:plc:ulwao7ndua3xppebdwn3kwty
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcneiavlii2b,bafyreiabs5m4bzuvcx42c4nnmblj45stn3ylinafiaownf7fctej6nn4qi,"A Ana Paula falando com o Brigido kkkkkkkkkkkkkkkkkkkkkkkkk
#BBB26 #BBB #RedeBBB",2026-01-17T19:39:06.000Z,0,0,1,2026-01-17T19:39:07.136Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcmwsamgqq2b,bafyreig77cx6kh43slbv2eefl7yok2sngyb47uhb52c4r2fa34rv2dym6i,"Depois disso que o Pedro foi acordar o Brígido, está mais do que nítido que ele quer que as pessoas briguem com ele, que ele vire o coitado da situação. 
#BBB26 #BBB #RedeBBB ",2026-01-17T15:34:09.000Z,0,0,5,2026-01-17T15:34:10.033Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:u622tyl23eszmeesqay6rzy7/app.bsky.feed.post/3mcfodsshak2w,bafyreicuddwrsfksh3llhogigp5yqymawnycqskfjy33werwwc2tmvcb44,"Os popcorn fechando panelinha e o Brigido falando que os Camarotes são mais perigosos que os Veteranos, pq tem mais publico... Gostoso demais assistir gente que nunca acompanhou BBB de perto",2026-01-14T18:14:17.379Z,2,1,4,2026-01-14T18:14:17.629Z,danih.bsky.social,Danih,did:plc:u622tyl23eszmeesqay6rzy7
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mcbghedqwk24,bafyreigr5rjiisonb7iqa73eq4jwxsz2itgpcy5na2amfsbmiaeiyf5chm,"Esse olho fixado do Brígido, eu hein!?

#AleReality #bbb26 #BBB",2026-01-13T01:42:27.547Z,0,2,5,2026-01-13T01:42:29.038Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:u23x2dljjn36qxzeqhbujgq7/app.bsky.feed.post/3mcfvbimtg22r,bafyreifganyyc3bi4j6uixx3dfrd755ivli6aazi4mknlyjnvysbnbkslq,"📺BBB 26: Brigido diz que problema de Henri Castelli é espiritual; VÍDEO

📲 ibahia.com/diversao/tv/...

#Ibahia #BBB26 #HenriCastelli #Brigido",2026-01-14T20:18:15.792Z,0,0,1,2026-01-14T20:18:20.737Z,ibahia.bsky.social,ibahia,did:plc:u23x2dljjn36qxzeqhbujgq7
at://did:plc:2ruar6rgum65burg5jwthixl/app.bsky.feed.post/3mcelo5zi4d2b,bafyreiahfez4g7vo5ifaf2zegtjvuh2ombqxblycbe57bqrjhiqlm7qw3i,BBB 26: Brigido é o segundo eliminado da primeira Prova do Líder,2026-01-14T07:53:43.603Z,0,0,1,2026-01-14T07:53:44.031Z,cnn-brasil.bsky.social,CNN Brasil,did:plc:2ruar6rgum65burg5jwthixl
at://did:plc:657jhwkcct5wpj2ydtxtjpwt/app.bsky.feed.post/3mcdysh2ots2r,bafyreiacj63a3oo53rlnjsmw3bmhmmtimg37lpqg3bf4jkclvcpb53hwwi,"Já ODEIO o Brigido, por ele ter tirado a Ana Paula. E amo a diva ter dito que pegaria a cama dele.

E também odeio o Mercado Livre por ter permitido que o Big Brother fizesse uma prova tão chata.

Que tédio isso dona Rede Globo.

#BBB #REDEBBB #BBB26",2026-01-14T02:16:06.323Z,0,1,3,2026-01-14T02:16:08.133Z,daviddenislobao.bsky.social,David Denis Lobão,did:plc:657jhwkcct5wpj2ydtxtjpwt
at://did:plc:7z2o6tnlwwyibrct5wcdosrl/app.bsky.feed.post/3mce3bz6olh22,bafyreih4oz3ksl7xevinfh3m6p7yfryasuy3hgb7yab6vujnakismhjmxa,"Itens dos últimos 30 minutos 🧭:

1. Bbb
2. Bilheteria
3. Definir
4. Paula
5. Kitty 🆕
6. Legendário
7. Brigido
8. Globo 🆕
9. Brasil 🆕
10. Líder

Anúncio: @terraprotege.bsky.social.",2026-01-14T03:00:35.978Z,0,0,1,2026-01-14T03:00:36.230Z,trending-pt.bsky.social,Tendências - Português,did:plc:7z2o6tnlwwyibrct5wcdosrl
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mc6orekjq22j,bafyreihl4xhnrrvxsnuujllmkyqo22h4qfswvw7nrhemhmnqyqjq2bxjdm,Brigido entrouu ihuuuuuu #BBB26 #BBB #CasaDeVidro,2026-01-11T23:33:13.000Z,0,1,2,2026-01-11T23:33:14.234Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
