uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:aduoxavv4nlceto54tgu3fjr/app.bsky.feed.post/3mcmhlrorqw27,bafyreibdhbphsza44x7p3uynsm56pqfvu4aygj5uybyziqjbno4ixsndqu,Outro Canal: BBB 26: Edilson Capetinha deve R$ 2 milhões de pensão ,2026-01-17T08:02:06-03:00,2,2,8,2026-01-17T11:02:07.436Z,folha.com,Folha de S.Paulo,did:plc:aduoxavv4nlceto54tgu3fjr
at://did:plc:6uujk2uxhmk4t4r2tcjxpc4d/app.bsky.feed.post/3mcnxzvymvs2x,bafyreig73eqebcu6nupw3z47nkgeha56spy3hp3morx5onaygd7k5euo3u,"""O capitalismo falhou, falha e falhará, em cada uma das sociedades onde ele colocar os seus tentáculos, que se baseiam na exploração e na expropriação do homem pelo homem.""

Edilson Capetinha no BBB 😅",2026-01-18T01:29:00.444Z,0,1,26,2026-01-18T01:29:06.249Z,salvandonerd.blog.br,Salvando Nerd🍉 | CONHEÇA A LOJA OFICIAL,did:plc:6uujk2uxhmk4t4r2tcjxpc4d
at://did:plc:fi4thtdlksyc66ozqj4yamud/app.bsky.feed.post/3mcfnxyqgjk2r,bafyreiavukbntzbmk2uuocl5a7vqsdey2pscj2rytj2hd4h7l6xbugpds4,"Edilson Capetinha já virou muita noite na putaria antes dos jogos, já fez uma viagem de 24h dentro de um avião com o Vampeta, uma prova de resistência no BBB é uma piada pra ele",2026-01-14T18:07:40.951Z,0,2,59,2026-01-14T18:07:42.034Z,caixadoremedios.art,Remedios,did:plc:fi4thtdlksyc66ozqj4yamud
at://did:plc:bhgzpjpjvlzwit3btjb5c4ks/app.bsky.feed.post/3mcbjhujsls2c,bafyreib3c7gpna5gjq2k7xkfw6httd4bt4ybyt4ze7cyg2rej2l4glmaxa,edilson capetinha pode ser o primeiro ser humano campeão da copa do mundo e do bbb,2026-01-13T02:36:25.747Z,3,28,205,2026-01-13T02:36:26.733Z,naomuito.bsky.social,calça jeans tênis samba,did:plc:bhgzpjpjvlzwit3btjb5c4ks
at://did:plc:xux6drfbhuwzuxqvuz5klgrr/app.bsky.feed.post/3mcbgthmvyc2t,bafyreiansyvqs3ja2jewcg3wrii2amlpif3q6o6tsqnqptxjngyokhpbnu,"Simplesmente EDILSON CAPETINHA no BBB, já estou fechado com o grupo dos MACHOS ESCROTOS",2026-01-13T01:49:13.646Z,4,7,59,2026-01-13T01:49:14.236Z,cirohamen.bsky.social,Ciro Hamen,did:plc:xux6drfbhuwzuxqvuz5klgrr
at://did:plc:cljgh3zfrduvqsodfe6gir2m/app.bsky.feed.post/3mchfmohcvc2w,bafyreif6vesali6cms7co3as72oac66sauiwy2mek2krtjq67q77coknfi,parabens bbb sonhei q tava atendendo o edilson capetinha,2026-01-15T10:43:30.608Z,0,0,4,2026-01-15T10:43:31.529Z,electrahertz.bsky.social,Lara 🖤🤍🦅,did:plc:cljgh3zfrduvqsodfe6gir2m
at://did:plc:iwb2fxm5a66qp3bx7zxim7d4/app.bsky.feed.post/3mcnuuvito225,bafyreibj23u3isipmc4ivibi7ocx74v3x6573ojk6baqzghieu2253e77a,to nervosissima,2026-01-18T00:32:30.991Z,0,0,3,2026-01-18T00:32:34.032Z,didionneta.bsky.social,líder de torcida do j fonsy,did:plc:iwb2fxm5a66qp3bx7zxim7d4
at://did:plc:fh7zoduym3umspvntylfmkjw/app.bsky.feed.post/3mcnztaj5tc2b,bafyreibxlhjdrbshqi7xn7exxjdbtrz4usk3yl27vgie5ozawodgs4ou7m,"Edilson capetinha tá no BBB, agora eu assisto kkk",2026-01-18T02:01:04.138Z,0,0,1,2026-01-18T02:01:06.736Z,viniciusoficial.bsky.social,Vinicius,did:plc:fh7zoduym3umspvntylfmkjw
at://did:plc:r64tupvty6wi743kuubb7csl/app.bsky.feed.post/3mcqcydsz7s2f,bafyreictisqde3divrs5fhh2ceyjlb5n54emp4mz72wfspgfut5n4vuefe,meia hora atrás tava 3 cameras no cara sozinho trocando de roupa,2026-01-18T23:50:18.527Z,0,0,9,2026-01-18T23:50:22.335Z,gomademascar.bsky.social,menina verde (da fadinha do brasil),did:plc:r64tupvty6wi743kuubb7csl
at://did:plc:peovjnb3tonajlml25bfssbw/app.bsky.feed.post/3mcjbakulqk25,bafyreig4knne6hwq4m4lkeiy77pxgal5zvwsyxfvxxf53jxcnumlzv6avu,"ACABEI DE DESCOBRIR QUE EDILSON CAPETINHA ESTÁ NO BBB

Eu estou com uma mistura de sentimentos com essa informação",2026-01-16T04:30:28.706Z,0,0,1,2026-01-16T04:30:30.232Z,max-oliveira.bsky.social,🍉 Max Oliveira 🕹️,did:plc:peovjnb3tonajlml25bfssbw
