uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:2sp7f2rkr6kvnfdasbu25fmr/app.bsky.feed.post/3mcqdvwq4xk23,bafyreiaqtdddktkasfbow6uwe25cbzr5ybqqy6f6vdllkzjpv7i23hvw3y,"E o chato do Pedro que fugiu do BBB antes de ser expulso por assediar a Jordana?

""Ele entrou comigo no confessionário (ela se confundiu aqui), me pegou pelo pescoço e tentou me beijar. Aí eu falei: 'Cê tá louco? O que você tá fazendo?'. Aí ele: 'Tô fazendo o que me deu vontade'"" - Jordana",2026-01-19T00:06:51.437Z,7,15,145,2026-01-19T00:06:53.532Z,camarotedacpi.bsky.social,Camarote da República,did:plc:2sp7f2rkr6kvnfdasbu25fmr
at://did:plc:2sp7f2rkr6kvnfdasbu25fmr/app.bsky.feed.post/3mcqdwq6x6k23,bafyreibapzsoehhyazod6qcm4h4jjy4s76kunb6755532ga6nbpvmagf6y,"🚪 Saiu o vídeo da despensa, mas só mostra o Pedro segurando a porta e a Jordana pedindo pra sair.

Capaz do BBB fazer algum pronunciamento depois sobre.",2026-01-19T00:07:18.139Z,2,7,107,2026-01-19T00:07:19.034Z,camarotedacpi.bsky.social,Camarote da República,did:plc:2sp7f2rkr6kvnfdasbu25fmr
at://did:plc:2sp7f2rkr6kvnfdasbu25fmr/app.bsky.feed.post/3mcqe62cds223,bafyreiafxpy7h6toozh7lbp2kzavow6ygczjmak5c5d2fiqoioccknbxdy,"👁‍🗨 Produção do BBB tá explicando pro resto da casa o que rolou mas a Globoplay tá cortando as câmeras.
Esse corte é pra preservar a Jordana, protocolo interno porque foi assédio.

No Ao Vivo deve ter algum pronunciamento final sobre a desistência/expulsão do Pedro.",2026-01-19T00:11:23.616Z,6,15,281,2026-01-19T00:11:23.929Z,camarotedacpi.bsky.social,Camarote da República,did:plc:2sp7f2rkr6kvnfdasbu25fmr
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mcqkq7swhc2h,bafyreihvvgvq2w2szvqhzztxn5x642vbxqs63bxrbisqmgu7r3yovi2glq,"Tadeu falou com Jordana e reforçou que Pedro seria EXPULSO do reality, caso não desistisse: ""A gente sente muito que isso tenha acontecido com uma mulher dentro do BBB.""",2026-01-19T02:08:55.802Z,2,1,27,2026-01-19T02:09:00.731Z,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mcqhoqo5o22u,bafyreiagygsyiphs7funnuf56vvidyot5fs4jumb3ewgysusnb2tgjbh7q,"Em nome da Central BBB, repudiamos veementemente qualquer tipo de assédio. Manifestamos nossa total solidariedade e desejamos força à Jordana nesse momento tão delicado. Que situações como essa não se repitam.
  #BBB26",2026-01-19T01:14:25.169Z,0,3,41,2026-01-19T01:14:26.637Z,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2
at://did:plc:mmfstj3aoyjlakckupdhgntu/app.bsky.feed.post/3mcqefdupi22f,bafyreifg7klpbkiqcp4y5dgbhzw7vhucgb7hqmg2eog5fjkpcsqkxkbdha,"Nossa, eu tô tão triste agora pela Jordana.
Ela fala: eu tava aqui realizando meu sonho. Agora vou ser reconhecida por essa situação.

Isso corta fundo.
O tanto de mulher q estava se divertindo, realizando um sonho, trabalhando, sobrevivendo… 
Toda hora isso. Que ódio 

#BBB",2026-01-19T00:15:28.531Z,0,3,47,2026-01-19T00:15:29.432Z,flaviaward.bsky.social,Flavia Ward 🌼🌱,did:plc:mmfstj3aoyjlakckupdhgntu
at://did:plc:2sp7f2rkr6kvnfdasbu25fmr/app.bsky.feed.post/3mcrza753g22b,bafyreib3z2ru5eitqckhu5xy35tg6cqaod6czokogovtv7xr6bwcnyfhgq,"🫥 A ORDEM É ESQUECER E LARGAR

Depois de assediar Jordana e fugir do BBB, Pedro vai ser largado pela Globo enquanto se revolve sozinho com a justiça. A ordem na produção é apagar ele de qualquer menção na emissora e tratá-lo como ""expulso"" do programa.",2026-01-19T16:01:04.089Z,7,11,195,2026-01-19T16:01:07.540Z,camarotedacpi.bsky.social,Camarote da República,did:plc:2sp7f2rkr6kvnfdasbu25fmr
at://did:plc:dobrsxt3kcxv2u3azwhfiuxd/app.bsky.feed.post/3mcqm5u64vc2j,bafyreiaqhe5q3neccmzmwqggk4fmvu3yvxzcjqo7wryz2xp77juy2pt7su,"É revoltante o episódio de assédio na casa mais vigiada do Brasil. Em depoimento, o ex-participante do BBB, Pedro, admite que “se segurava”, que cobiçava as mulheres e que desejava Jordana. Isso é violência! Assédio é crime, não entretenimento!",2026-01-19T02:34:27.121Z,3,7,44,2026-01-19T02:34:28.536Z,handle.invalid,Paulo Pimenta,did:plc:dobrsxt3kcxv2u3azwhfiuxd
at://did:plc:d7hfct73ak7bjzxboiialvph/app.bsky.feed.post/3mcqdbtm5fc2t,bafyreicgcbmm2xeyzb6yt2avsgonxwuem473wss4n6fq4grocypdyeuhvi,"vi o video da jordana (acompanhando bbb por twitter e canais de fofoca no youtube)

mas puta que pariu né desistência é o meu cu tinha que sair de lá algemado.

e como sempre a globo assim ""ai não vi nadaaa""",2026-01-18T23:55:37.073Z,3,1,28,2026-01-18T23:55:37.334Z,majubengel.bsky.social,Bengel ✨🦩 ➡️ 24-25/01 Festival Collab 11,did:plc:d7hfct73ak7bjzxboiialvph
at://did:plc:22u3xlfdxqxyzva2fsljotcy/app.bsky.feed.post/3mcryhc2cyr2u,bafyreie2qng5uaomz7kzxexl4p5mddrwlnxuezl5lupfr6tzcc5feeq63y,"BBB 26: Pedro será investigado pela polícia por importunação sexual: O episódio ocorreu na despensa da casa, quando ele tentou beijar Jordana contra a vontade dela #revistafórum",2026-01-19T15:47:07Z,2,3,17,2026-01-19T15:47:08.930Z,revistaforum.com.br,Revista Fórum,did:plc:22u3xlfdxqxyzva2fsljotcy
