uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:vlhae4apk56tqfidzo7rc7jh/app.bsky.feed.post/3mcpdxozexs2s,bafyreie7k7llqpwy7lrt3ov7cwp64h6aqnmbyktc6lsnrthocptqupu35q,rindo sou assim,2026-01-18T14:35:10.698Z,1,10,76,2026-01-18T14:35:13.431Z,rowletinho.bsky.social,Rowly,did:plc:vlhae4apk56tqfidzo7rc7jh
at://did:plc:eeexpp6a26u3suqn6zzbaqp2/app.bsky.feed.post/3mcsxo7voqs2b,bafyreifem3e7mjk6uqeekdcchr3eeg7uposkjs6wskijn6gxq2oyhhvpxm,coloquei no bbb e o breno tá tentando explicar o big bang pra milena e tá fascinante as perguntas dela,2026-01-20T01:05:46.935Z,2,2,55,2026-01-20T01:05:48.535Z,guilhermefreitas.bsky.social,Guilherme Freitas ,did:plc:eeexpp6a26u3suqn6zzbaqp2
at://did:plc:mq2yuuqlauxmmtr4ft7dx7qc/app.bsky.feed.post/3mcqkysii3c2p,bafyreifjpgh4ixca2wo5jwmhdwly62hgd7zy5lkkgijhcv4mokhhipfmbq,A Milena chorando parece a Chiquinha. Só tem perfomance e não sai uma lágrima. #bbb #bbb26,2026-01-19T02:13:43.844Z,4,4,22,2026-01-19T02:13:44.534Z,juliabobrow.bsky.social,Julia Bobrow,did:plc:mq2yuuqlauxmmtr4ft7dx7qc
at://did:plc:tqbbm6uhlyr3jggagxc6v7nv/app.bsky.feed.post/3mckiralnv22j,bafyreibthivtta4ghfaq2w3yvhdjyzbat22eiz7oabo5fkh2hpsqioct3m,o trio PIORAL dessa casa é milena pedro e legendario #bbb,2026-01-16T16:17:44.285Z,1,0,13,2026-01-16T16:17:44.838Z,lurdsmila.bsky.social,lulu espalha lixo,did:plc:tqbbm6uhlyr3jggagxc6v7nv
at://did:plc:6ul7iuo62rvnvh2lnls2oa3a/app.bsky.feed.post/3mcqv4g5nds2a,bafyreibn5s5hqf4fin6n4c5jqhzz2cfkkmc5xon566t3s5kctah32l5tuu,porque nós gays tbm somos um pouco mulheres,2026-01-19T05:14:42.536Z,0,1,11,2026-01-19T05:14:44.535Z,naktern.bsky.social,amira,did:plc:6ul7iuo62rvnvh2lnls2oa3a
at://did:plc:bipopzognjxe7qmkivkmwx7f/app.bsky.feed.post/3mcnsq2bsyc2g,bafyreicp75cmo66yx4hvtorpkkrsxmutwu45uiqshj63lnafwc3rg25e6u,Nada me tira da cabeça que essa Milena do BBB poderia ser tranquilamente um personagem do Eddie Murphy disfarçado,2026-01-17T23:54:00.733Z,1,1,13,2026-01-17T23:54:01.328Z,divodiario.bsky.social,Divo,did:plc:bipopzognjxe7qmkivkmwx7f
at://did:plc:u23x2dljjn36qxzeqhbujgq7/app.bsky.feed.post/3mcpim7bgn22i,bafyreihppnkv7u5zlnic2p2lxt6txf5qrrnvvsqilzdjeuzuobcureza64,"😱 BBB 26: Milena tem crise de choro após punição gravíssima e se revolta

📲 www.ibahia.com/diversao/tv/...

#Ibahia #BBB #BBB26 #Milena #TV #TVGlobo #RealityShow",2026-01-18T15:58:13.821Z,0,1,3,2026-01-18T15:58:20.734Z,ibahia.bsky.social,ibahia,did:plc:u23x2dljjn36qxzeqhbujgq7
at://did:plc:2ruar6rgum65burg5jwthixl/app.bsky.feed.post/3mcpemaoqdw2v,bafyreie3psqzzn5ic5zhjodtnyusjbwwdtgccapqvakmxm5chhkqxdvokq,BBB 26: Milena recebe punição gravíssima e gera discussão generalizada,2026-01-18T14:46:40.246Z,1,0,4,2026-01-18T14:46:41.235Z,cnn-brasil.bsky.social,CNN Brasil,did:plc:2ruar6rgum65burg5jwthixl
at://did:plc:imfbxvnvn7atsfzlp2nhxnbj/app.bsky.feed.post/3mclg5oeyu22g,bafyreigxtzujop75spfvavej5bf3eulxps5wlffopqx5sftwkeaqyei354,nossa como essa Milena do bbb é INSUPORTÁVEL,2026-01-17T01:03:39.913Z,1,0,4,2026-01-17T01:03:40.230Z,purpl3luup.bsky.social,Lu ⚢ 🧁,did:plc:imfbxvnvn7atsfzlp2nhxnbj
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcnek5rnfo2b,bafyreif6axaqmapsqakxgoevof5hvejdswsbeoelsm6exbse2p5hjrgwfe,Milena sacou a do Pedro e já ta protegendo o PA #BBB #BBB26 #RedeBBB,2026-01-17T19:40:10.000Z,0,1,5,2026-01-17T19:40:10.928Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:zs2yk4eq2mnb5slvzctcpb67/app.bsky.feed.post/3mcqr2uzznc2t,bafyreigkjl3o54lhm5s3zi5piplinn2sg5ezgyx4eucwzqwwraxbcnowka,A Sol Iarnuô eh mto fofa pô. Ela falando que se solidarizou com Milena pq lembra q ela mesma chegou no BBB e tinha dificuldade pra falar e ser entendida. Quem lembra sabe q foi punk,2026-01-19T04:02:16.075Z,1,1,8,2026-01-19T04:02:16.236Z,mariliamoscou.bsky.social,Imperatriz Paulista da Não-Monogamia,did:plc:zs2yk4eq2mnb5slvzctcpb67
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcnbhpxmac2v,bafyreifx2jp5phuadmicj7grnses6f2f5wihmlojeam2trpse5kmujtk3y,"Milena e Breno fizeram a prova em 01:19
#BBB26 #BBB #RedeBBB",2026-01-17T18:45:06.000Z,0,1,3,2026-01-17T18:45:08.734Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mcjbsftlmk2c,bafyreicpuuus3pi7wn5zwiywnh6akbd5qtkzpr4pnfeyxaxwxlpygq363y,"Aline Riscado e Milena no paredão. Quem vc votaria pra sair???

#AleReality #bbb26 #BBB",2026-01-16T04:40:27.411Z,5,1,6,2026-01-16T04:40:27.936Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:dcrw7yttnd3svdk5q7a34cuy/app.bsky.feed.post/3mcilcdmxvc2z,bafyreicjrr33auhub2bkvdwzzfi2j3ajr4acdy5hn3edrwaox3ptgid65e,"odeio que comparem a milena do bbb com o davi pois eles não compartilham nada em comum (com exceção da cor)
davi era dissimulado e soube jogar direitinho do jeito dele
milena é uma jumenta em estado bruto",2026-01-15T21:57:45.905Z,0,0,19,2026-01-15T21:57:47.334Z,feliep.bsky.social,véia do filme do didi gritando padre manoel morreeeu,did:plc:dcrw7yttnd3svdk5q7a34cuy
at://did:plc:77m7szcps5ahfhlj275enasd/app.bsky.feed.post/3mcsnd5sfgc2x,bafyreibyqwavog2kyswmjjmixg2hoyn74yi5kiwkltb32g6qdafp4tms7q,"Cowboy e Jonas são dois imundos. ""A casa dos outros"" que é pra demarcar que a Milena não pertence à casa do BBB. #BBB26",2026-01-19T22:00:38.208Z,4,2,6,2026-01-19T22:00:41.128Z,mulherbeliche.bsky.social,Vivian,did:plc:77m7szcps5ahfhlj275enasd
at://did:plc:6up3eklzxy3neblmiez4ncxa/app.bsky.feed.post/3mct3jgsnvs2j,bafyreieue2zsddfjkyz3xmjci72rypee35gpt44jjq4a3hdzamyyndndua,"A Ana Paula botando a Milena em segundo ela se ajuda e ajuda a milena, direcionando todos para votar em Aline ex riscado, a nossa namastreta.

#BBB #BBB26",2026-01-20T02:14:41.370Z,0,0,2,2026-01-20T02:14:42.232Z,ducellos.bsky.social,Du.Cellos,did:plc:6up3eklzxy3neblmiez4ncxa
at://did:plc:kf3gnxhawnv7ovw7bs6f2cny/app.bsky.feed.post/3mclrkmsylc22,bafyreifjigifjdmt2ckhlf5snzsxe4uqhraxsvt2ygsvalkxrltdbcna2i,tia milena manguaçando 👀 kk #BBB/6,2026-01-17T04:27:45.642Z,1,0,4,2026-01-17T04:27:51.131Z,didistopia.bsky.social,ô didi,did:plc:kf3gnxhawnv7ovw7bs6f2cny
at://did:plc:fybepv5xnnzvbpdri3uv6tll/app.bsky.feed.post/3mcnc27ja422k,bafyreif24cxurtbl457sumwwki7ownrjifgyffs6ohz4igwro7y3xcz6xi,"Assistindo BBB e passando raiva com a Milena 

Tô estranhando q o Pedro n falou nada até agora, quando ele abrir a boca vai sair a maior bomba",2026-01-17T18:55:28.164Z,0,0,4,2026-01-17T18:55:29.163Z,dolleteporcelainn.bsky.social,☯∘˙🌸𝐌𝐚𝐤𝐲,did:plc:fybepv5xnnzvbpdri3uv6tll
at://did:plc:pd2ch72cl6ckvj752jdncmsv/app.bsky.feed.post/3mcfqb5jw4c27,bafyreig5br2or5qmlpifezb2h4nltvkurxu7u7w3paubnp6jnfoqrvx2ke,após henri castelli ter duas convulsões no BBB milena pergunta se ele não estava sob possessão demoníaca #BBB26 #ResponsabilidadeSocial,2026-01-14T18:48:35.454Z,4,4,20,2026-01-14T18:48:36.732Z,joanna.news,joanna news🪉,did:plc:pd2ch72cl6ckvj752jdncmsv
at://did:plc:vra7v3d427dqkuohdiagvdyr/app.bsky.feed.post/3mchhl62uhc25,bafyreibjnkbc7pqm2yuk6prlwkvqardi3fsommurmuopyj32nuc2y3j47e,os participantes do bbb mais surtados são pedro peaky blinders e milena tidinha! altas chances de desistência ou vanessa lopar.,2026-01-15T11:18:27.353Z,1,2,17,2026-01-15T11:18:28.530Z,bttlborn.bsky.social,botle,did:plc:vra7v3d427dqkuohdiagvdyr
at://did:plc:6ul7iuo62rvnvh2lnls2oa3a/app.bsky.feed.post/3mcplxuv2as2e,bafyreigdkub7vkzt6b52kdhsscncducnok7rq2ez24gre4aniabfgmpmpe,eu não sei pq achei isso aqui tão engraçado,2026-01-18T16:58:26.786Z,0,2,14,2026-01-18T16:58:29.935Z,naktern.bsky.social,amira,did:plc:6ul7iuo62rvnvh2lnls2oa3a
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mckhzcfpo22r,bafyreihocnftylxw6f2eworuhrbj7ucch4cc3tcvf627poop2rub42ws3e,"Milena contou que cancelou a cirurgia de seu cachorro para comprar roupas pra entrar no BBB.

Ela disse que pensou na visibilidade que teria no programa e consequentemente conseguiria realizar a cirurgia com a ajuda de algum Pet Shop.",2026-01-16T16:04:20.862Z,0,1,10,2026-01-16T16:04:32.636Z,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2
at://did:plc:tjxod2znsvn5on7byizwaz2z/app.bsky.feed.post/3mcqozh7pgc2h,bafyreig5jhvfukgjrkmj5bfw4ftu5fdyvctvofpfu3aik6waspsqkj4gry,A Milena merece muitooooooo #BBB,2026-01-19T03:25:40.550Z,0,0,1,2026-01-19T03:27:17.734Z,iotra.bsky.social,Pina Bausch reencarnada em Juliano Floss,did:plc:tjxod2znsvn5on7byizwaz2z
at://did:plc:7z2o6tnlwwyibrct5wcdosrl/app.bsky.feed.post/3mct2qrbwg52w,bafyreig63zc4gtikj36qynguqfvgk6k6cqt6pg46e2easioljkiw7p3es4,"Itens dos últimos 30 minutos 🧭:

1. #bbb ⬆
2. Aline 🆕
3. Bbb ⬆
4. Milena ⬆
5. Paula 🆕
6. Plateia 🆕
7. Chaiany 🆕
8. Alvo 🆕
9. Gabriela 🆕
10. Chay 🆕

Anúncio: @terraprotege.bsky.social.",2026-01-20T02:00:53.418Z,0,0,2,2026-01-20T02:00:53.632Z,trending-pt.bsky.social,Tendências - Português,did:plc:7z2o6tnlwwyibrct5wcdosrl
at://did:plc:77m7szcps5ahfhlj275enasd/app.bsky.feed.post/3mcsym6bjts2x,bafyreihmgvt2yftfykem2oarvrgsmiawryhw6hmxhnekt3zgvj5ve4u34a,Ê bolsominion de merda #BBB26,2026-01-20T01:22:31.850Z,1,0,4,2026-01-20T01:22:34.330Z,mulherbeliche.bsky.social,Vivian,did:plc:77m7szcps5ahfhlj275enasd
