uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:h6n3z5vatkm6ortaao5cddhd/app.bsky.feed.post/3mcnx2yu6y22h,bafyreihvcalvxdg6bzi4tgqy2zfc6hslxngyqii4jw3mp3jy72asraanvm,A Samira #bbb parece o The Bear um pouco,2026-01-18T01:11:43.310Z,5,15,157,2026-01-18T01:11:45.731Z,marish.bsky.social,Planeta Chupão ☄️,did:plc:h6n3z5vatkm6ortaao5cddhd
at://did:plc:tvsxwpaa4md3mpyycvfffadp/app.bsky.feed.post/3mct6iapcvc2w,bafyreicqav5kliflwdwbfsz32r5wloiksrweqz777d4onfnim47tesgzs4,Samira do BBB,2026-01-20T03:07:42.637Z,1,4,22,2026-01-20T03:07:44.531Z,phmuller.bsky.social,Pedro Henrique Müller,did:plc:tvsxwpaa4md3mpyycvfffadp
at://did:plc:sfjm5ndkp5maivlns6bmxabj/app.bsky.feed.post/3mct5nk6dtc2m,bafyreicrrrq4eslibrzt32ozfqq6ste2d5qjwinidruyzrbsjwbn56cbcm,samira veio pra esse bbb só pra escutar os maiores absurdos,2026-01-20T02:52:46.598Z,0,0,6,2026-01-20T02:52:49.534Z,oiyuriv.bsky.social,yuri,did:plc:sfjm5ndkp5maivlns6bmxabj
at://did:plc:6up3eklzxy3neblmiez4ncxa/app.bsky.feed.post/3mct6jgfrdk2j,bafyreia2kkaapqhbyta2wdppzkbaxew4wjnjozlehcpsyivmu75r36k3sq,"O discurso da samira passa essa mesma vibe aqui:

#BBB #BBB26",2026-01-20T03:08:22.174Z,0,2,6,2026-01-20T03:08:23.834Z,ducellos.bsky.social,Du.Cellos,did:plc:6up3eklzxy3neblmiez4ncxa
at://did:plc:6up3eklzxy3neblmiez4ncxa/app.bsky.feed.post/3mct5ndmrrk2j,bafyreibgdz6mqf445jgcfoj2rhkdt4n3dao4bfeibhado5wqclwbrl3b4i,"A Samira tá sem suas botas brancas? 

#BBB #BBB26",2026-01-20T02:52:39.735Z,0,1,3,2026-01-20T02:52:40.230Z,ducellos.bsky.social,Du.Cellos,did:plc:6up3eklzxy3neblmiez4ncxa
at://did:plc:wq3d7b4cokjyzmz4qolldrkl/app.bsky.feed.post/3mcpkbokxrk27,bafyreicbw6ayelgm7uavzi77wsbq5w5qjhokww2tq4m77uys65fsf3caii,"samira do bbb é descendente palestina e meu primo conhece a família dela, a gente tava aqui pensando se ela teve que assinar alguma coisa pra não falar sobre a palestina já que a globo é de judeus sionistas",2026-01-18T16:28:08.229Z,1,2,14,2026-01-18T16:28:09.433Z,toohozier.bsky.social,ca gay 🍉🌈,did:plc:wq3d7b4cokjyzmz4qolldrkl
at://did:plc:u23x2dljjn36qxzeqhbujgq7/app.bsky.feed.post/3mcruuxhi3k2y,bafyreid4uzc35xznh7zxves2acm62hqbdiqyy6baqa7jghkudwmto5pnca,"BBB 🤰 Ana Paula adota estratégia de Anitta e solta: 'Samira tá grávida'

📲 www.ibahia.com/diversao/tv/...

#Ibahia #BBB #BBB26 #AnaPaulaRenault #AP #Samira #Anitta #TV #RealityShow #TVGlobo",2026-01-19T14:43:11.999Z,0,0,1,2026-01-19T14:43:15.431Z,ibahia.bsky.social,ibahia,did:plc:u23x2dljjn36qxzeqhbujgq7
at://did:plc:d5rdi6il3gl5fou6kizz37h3/app.bsky.feed.post/3mclskuqquk2y,bafyreibbk7thlxjgua5zzlck76p36kw3ohpilnm2xipvwd6htuurzvq42m,eu sabia que vinha algo muito forte só não imaginava que fosse um coma alcoólico e o fim antecipado da festa que se criou tanta expectativa #bbb26,2026-01-17T04:45:47.675Z,0,1,9,2026-01-17T04:45:49.634Z,tangara.bsky.social,"dayman, fighter of the nightman",did:plc:d5rdi6il3gl5fou6kizz37h3
at://did:plc:tfrxjhiynt3kaq2qjoxea6e5/app.bsky.feed.post/3mcjrh5lr4c2f,bafyreidrjka7taqoz6zfuqju65u6icapcybbhbh3lz2osikiy5qydadoci,"BBB 26: Samira diz que já beijou surfista famoso

Samira surpreendeu os brothers ao revelar que já ficou com o surfista Gabriel Medina.",2026-01-16T09:20:28Z,0,0,1,2026-01-16T09:20:29.934Z,fofocasefamosos.bsky.social,,did:plc:tfrxjhiynt3kaq2qjoxea6e5
at://did:plc:tubfeeuz2gas5ikjpzbnwooy/app.bsky.feed.post/3mctbqdhjbi2t,bafyreicnh6ju46bg4wqot3igjni5amszmskxpe2icaroc5osxvjiqvhkpe,"Trending Topics Brasil:
1- #bbb26 (↔)
2- Aline (+2▲)
3- Sarah (↔)
4- Ana Paula (-2▼)
5- Samira (↔)
6- Breno (+4▲)
7- Matheus (+3▲)
8- Milena (+2▲)
9- #bbb (↔)
10- Chaiany (-3▼)

✉️2.548|🙍‍1.179 |⏳60m
V0.21",2026-01-20T04:05:54+00:00,0,1,1,2026-01-20T04:05:55.830Z,ttbrasil.bsky.social,Trending Topics Brasil no BSKY ,did:plc:tubfeeuz2gas5ikjpzbnwooy
